date,code,floor,basic_price,ceiling_price,floor_price,close,open,high,low,average,adjust_close,adjust_open,adjust_high,adjust_low,adjust_average,change,adjust_change,percent_change,volume_match,value_match,volume_reconcile,value_reconcile,total_volume,total_value
5/15/24,ENF,OTC,0,0,0,35381.0,0,0,0,0,35381.0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/14/24,ENF,OTC,0,0,0,35381.0,0,0,0,0,35381.0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/10/24,ENF,OTC,0,0,0,35375.0,0,0,0,0,35375.0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/7/24,ENF,OTC,0,0,0,35250.0,0,0,0,0,35250.0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/3/24,ENF,OTC,0,0,0,34555.0,0,0,0,0,34555.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/25/24,ENF,OTC,0,0,0,34221.0,0,0,0,0,34221.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/23/24,ENF,OTC,0,0,0,33293.0,0,0,0,0,33293.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/19/24,ENF,OTC,0,0,0,33806.0,0,0,0,0,33806.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/17/24,ENF,OTC,0,0,0,34286.0,0,0,0,0,34286.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/12/24,ENF,OTC,0,0,0,34848.0,0,0,0,0,34848.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/10/24,ENF,OTC,0,0,0,34989.00000000001,0,0,0,0,34989.00000000001,0,0,0,0,0,0,0,0,0,0,0,0,0
4/4/24,ENF,OTC,0,0,0,35150.99999999999,0,0,0,0,35150.99999999999,0,0,0,0,0,0,0,0,0,0,0,0,0
4/2/24,ENF,OTC,0,0,0,35955.99999999999,0,0,0,0,35955.99999999999,0,0,0,0,0,0,0,0,0,0,0,0,0
3/28/24,ENF,OTC,0,0,0,36025.99999999999,0,0,0,0,36025.99999999999,0,0,0,0,0,0,0,0,0,0,0,0,0
3/26/24,ENF,OTC,0,0,0,35696.0,0,0,0,0,35696.0,0,0,0,0,0,0,0,0,0,0,0,0,0
